
agency_cd	site_no	parameter_cd	ts_id	month_nu	day_nu	begin_yr	end_yr	count_nu	max_va_yr	max_va	min_va_yr	min_va	mean_va	p05_va	p10_va	p20_va	p25_va	p50_va	p75_va	p80_va	p90_va	p95_va
USGS	01578310	00060	68118	1	1	1999	1999	1	1999	7140	1999	7140	7140					7140				
USGS	01578310	00060	68118	1	2	1999	1999	1	1999	6780	1999	6780	6780					6780				
USGS	01578310	00060	68118	1	3	1999	1999	1	1999	2300	1999	2300	2300					2300				
USGS	01578310	00060	68118	1	4	1999	1999	1	1999	16200	1999	16200	16200					16200				
USGS	01578310	00060	68118	1	5	1999	1999	1	1999	12200	1999	12200	12200					12200				
USGS	01578310	00060	68118	1	6	1999	1999	1	1999	11300	1999	11300	11300					11300				
USGS	01578310	00060	68118	1	7	1999	1999	1	1999	7140	1999	7140	7140					7140				
USGS	01578310	00060	68118	1	8	1999	1999	1	1999	8270	1999	8270	8270					8270				
USGS	01578310	00060	68118	1	9	1999	1999	1	1999	6970	1999	6970	6970					6970				
USGS	01578310	00060	68118	1	10	1999	1999	1	1999	2110	1999	2110	2110					2110				
USGS	01578310	00060	68118	1	11	1999	1999	1	1999	13400	1999	13400	13400					13400				
USGS	01578310	00060	68118	1	12	1999	1999	1	1999	11700	1999	11700	11700					11700				
USGS	01578310	00060	68118	1	13	1999	1999	1	1999	14300	1999	14300	14300					14300				
USGS	01578310	00060	68118	1	14	1999	1999	1	1999	18900	1999	18900	18900					18900				
USGS	01578310	00060	68118	1	15	1999	1999	1	1999	13100	1999	13100	13100					13100				
USGS	01578310	00060	68118	1	16	1999	1999	1	1999	6650	1999	6650	6650					6650				
USGS	01578310	00060	68118	1	17	1999	1999	1	1999	5420	1999	5420	5420					5420				
USGS	01578310	00060	68118	1	18	1999	1999	1	1999	23800	1999	23800	23800					23800				
USGS	01578310	00060	68118	1	19	1999	1999	1	1999	38800	1999	38800	38800					38800				
USGS	01578310	00060	68118	1	20	1999	1999	1	1999	32400	1999	32400	32400					32400				
USGS	01578310	00060	68118	1	21	1999	1999	1	1999	35400	1999	35400	35400					35400				
USGS	01578310	00060	68118	1	22	1999	1999	1	1999	38400	1999	38400	38400					38400				
USGS	01578310	00060	68118	1	23	1999	1999	1	1999	38700	1999	38700	38700					38700				
USGS	01578310	00060	68118	1	24	1999	1999	1	1999	77000	1999	77000	77000					77000				
USGS	01578310	00060	68118	1	25	1999	1999	1	1999	199000	1999	199000	199000					199000				
USGS	01578310	00060	68118	1	26	1999	1999	1	1999	222000	1999	222000	222000					222000				
USGS	01578310	00060	68118	1	27	1999	1999	1	1999	175000	1999	175000	175000					175000				
USGS	01578310	00060	68118	1	28	1999	1999	1	1999	135000	1999	135000	135000					135000				
USGS	01578310	00060	68118	1	29	1999	1999	1	1999	107000	1999	107000	107000					107000				
USGS	01578310	00060	68118	1	30	1999	1999	1	1999	81000	1999	81000	81000					81000				
USGS	01578310	00060	68118	1	31	1999	1999	1	1999	67700	1999	67700	67700					67700				
USGS	01578310	00060	68118	2	1	1999	1999	1	1999	54200	1999	54200	54200					54200				
USGS	01578310	00060	68118	2	2	1999	1999	1	1999	52100	1999	52100	52100					52100				
USGS	01578310	00060	68118	2	3	1999	1999	1	1999	49500	1999	49500	49500					49500				
USGS	01578310	00060	68118	2	4	1999	1999	1	1999	52900	1999	52900	52900					52900				
USGS	01578310	00060	68118	2	5	1999	1999	1	1999	59600	1999	59600	59600					59600				
USGS	01578310	00060	68118	2	6	1999	1999	1	1999	58800	1999	58800	58800					58800				
USGS	01578310	00060	68118	2	7	1999	1999	1	1999	49800	1999	49800	49800					49800				
USGS	01578310	00060	68118	2	8	1999	1999	1	1999	53400	1999	53400	53400					53400				
USGS	01578310	00060	68118	2	9	1999	1999	1	1999	56300	1999	56300	56300					56300				
USGS	01578310	00060	68118	2	10	1999	1999	1	1999	43000	1999	43000	43000					43000				
USGS	01578310	00060	68118	2	11	1999	1999	1	1999	39700	1999	39700	39700					39700				
USGS	01578310	00060	68118	2	12	1999	1999	1	1999	38100	1999	38100	38100					38100				
USGS	01578310	00060	68118	2	13	1999	1999	1	1999	38300	1999	38300	38300					38300				
USGS	01578310	00060	68118	2	14	1999	1999	1	1999	32800	1999	32800	32800					32800				
USGS	01578310	00060	68118	2	15	1999	1999	1	1999	47700	1999	47700	47700					47700				
USGS	01578310	00060	68118	2	16	1999	1999	1	1999	44600	1999	44600	44600					44600				
USGS	01578310	00060	68118	2	17	1999	1999	1	1999	47600	1999	47600	47600					47600				
USGS	01578310	00060	68118	2	18	1999	1999	1	1999	44300	1999	44300	44300					44300				
USGS	01578310	00060	68118	2	19	1999	1999	1	1999	47100	1999	47100	47100					47100				
USGS	01578310	00060	68118	2	20	1999	1999	1	1999	30300	1999	30300	30300					30300				
USGS	01578310	00060	68118	2	21	1999	1999	1	1999	31100	1999	31100	31100					31100				
USGS	01578310	00060	68118	2	22	1999	1999	1	1999	45500	1999	45500	45500					45500				
USGS	01578310	00060	68118	2	23	1999	1999	1	1999	36400	1999	36400	36400					36400				
USGS	01578310	00060	68118	2	24	1999	1999	1	1999	27700	1999	27700	27700					27700				
USGS	01578310	00060	68118	2	25	1999	1999	1	1999	23100	1999	23100	23100					23100				
USGS	01578310	00060	68118	2	26	1999	1999	1	1999	27700	1999	27700	27700					27700				
USGS	01578310	00060	68118	2	27	1999	1999	1	1999	16200	1999	16200	16200					16200				
USGS	01578310	00060	68118	2	28	1999	1999	1	1999	19000	1999	19000	19000					19000				
USGS	01578310	00060	68118	3	1	1999	1999	1	1999	26300	1999	26300	26300					26300				
USGS	01578310	00060	68118	3	2	1999	1999	1	1999	24600	1999	24600	24600					24600				
USGS	01578310	00060	68118	3	3	1999	1999	1	1999	23200	1999	23200	23200					23200				
USGS	01578310	00060	68118	3	4	1999	1999	1	1999	36600	1999	36600	36600					36600				
USGS	01578310	00060	68118	3	5	1999	1999	1	1999	56600	1999	56600	56600					56600				
USGS	01578310	00060	68118	3	6	1999	1999	1	1999	80300	1999	80300	80300					80300				
USGS	01578310	00060	68118	3	7	1999	1999	1	1999	84700	1999	84700	84700					84700				
USGS	01578310	00060	68118	3	8	1999	1999	1	1999	79300	1999	79300	79300					79300				
USGS	01578310	00060	68118	3	9	1999	1999	1	1999	72200	1999	72200	72200					72200				
USGS	01578310	00060	68118	3	10	1999	1999	1	1999	50600	1999	50600	50600					50600				
USGS	01578310	00060	68118	3	11	1999	1999	1	1999	44000	1999	44000	44000					44000				
USGS	01578310	00060	68118	3	12	1999	1999	1	1999	41000	1999	41000	41000					41000				
USGS	01578310	00060	68118	3	13	1999	1999	1	1999	31300	1999	31300	31300					31300				
USGS	01578310	00060	68118	3	14	1999	1999	1	1999	29000	1999	29000	29000					29000				
USGS	01578310	00060	68118	3	15	1999	1999	1	1999	38300	1999	38300	38300					38300				
USGS	01578310	00060	68118	3	16	1999	1999	1	1999	35700	1999	35700	35700					35700				
USGS	01578310	00060	68118	3	17	1999	1999	1	1999	34500	1999	34500	34500					34500				
USGS	01578310	00060	68118	3	18	1999	1999	1	1999	37900	1999	37900	37900					37900				
USGS	01578310	00060	68118	3	19	1999	1999	1	1999	39900	1999	39900	39900					39900				
USGS	01578310	00060	68118	3	20	1999	1999	1	1999	44000	1999	44000	44000					44000				
USGS	01578310	00060	68118	3	21	1999	1999	1	1999	58900	1999	58900	58900					58900				
USGS	01578310	00060	68118	3	22	1999	1999	1	1999	69100	1999	69100	69100					69100				
USGS	01578310	00060	68118	3	23	1999	1999	1	1999	70300	1999	70300	70300					70300				
USGS	01578310	00060	68118	3	24	1999	1999	1	1999	69800	1999	69800	69800					69800				
USGS	01578310	00060	68118	3	25	1999	1999	1	1999	69900	1999	69900	69900					69900				
USGS	01578310	00060	68118	3	26	1999	1999	1	1999	63900	1999	63900	63900					63900				
USGS	01578310	00060	68118	3	27	1999	1999	1	1999	60300	1999	60300	60300					60300				
USGS	01578310	00060	68118	3	28	1999	1999	1	1999	55800	1999	55800	55800					55800				
USGS	01578310	00060	68118	3	29	1999	1999	1	1999	61600	1999	61600	61600					61600				
USGS	01578310	00060	68118	3	30	1999	1999	1	1999	61600	1999	61600	61600					61600				
USGS	01578310	00060	68118	3	31	1999	1999	1	1999	57700	1999	57700	57700					57700				
USGS	01578310	00060	68118	4	1	1999	1999	1	1999	62800	1999	62800	62800					62800				
USGS	01578310	00060	68118	4	2	1999	1999	1	1999	56700	1999	56700	56700					56700				
USGS	01578310	00060	68118	4	3	1999	1999	1	1999	57000	1999	57000	57000					57000				
USGS	01578310	00060	68118	4	4	1999	1999	1	1999	57100	1999	57100	57100					57100				
USGS	01578310	00060	68118	4	5	1999	1999	1	1999	69900	1999	69900	69900					69900				
USGS	01578310	00060	68118	4	6	1999	1999	1	1999	70100	1999	70100	70100					70100				
USGS	01578310	00060	68118	4	7	1999	1999	1	1999	58200	1999	58200	58200					58200				
USGS	01578310	00060	68118	4	8	1999	1999	1	1999	57600	1999	57600	57600					57600				
USGS	01578310	00060	68118	4	9	1999	1999	1	1999	56400	1999	56400	56400					56400				
