,nfe,improvements
0,100,65
1,200,96
2,300,125
3,400,154
4,500,182
5,600,210
6,700,237
7,800,264
8,900,297
9,1000,325
10,1100,347
11,1200,367
12,1300,394
13,1400,415
14,1500,445
15,1600,466
16,1700,486
17,1800,509
18,1900,528
19,2000,552
20,2100,575
21,2200,590
22,2300,615
23,2400,641
24,2500,662
25,2600,686
26,2700,710
27,2800,737
28,2900,768
29,3000,795
30,3100,818
31,3200,844
32,3300,865
33,3400,886
34,3500,905
35,3600,933
36,3700,955
37,3800,975
38,3900,998
39,4000,1020
40,4100,1041
41,4200,1062
42,4300,1086
43,4400,1108
44,4500,1129
45,4600,1153
46,4700,1178
47,4800,1204
48,4900,1232
49,5000,1256
50,5100,1283
51,5200,1301
52,5300,1323
53,5400,1339
54,5500,1360
55,5600,1380
56,5700,1402
57,5800,1422
58,5900,1439
59,6000,1462
60,6100,1488
61,6200,1507
62,6300,1530
63,6400,1543
64,6500,1565
65,6600,1588
66,6700,1610
67,6800,1630
68,6900,1651
69,7000,1677
70,7100,1701
71,7200,1723
72,7300,1746
73,7400,1773
74,7500,1803
75,7600,1830
76,7700,1858
77,7800,1883
78,7900,1907
79,8000,1925
80,8100,1949
81,8200,1975
82,8300,1991
83,8400,2012
84,8500,2034
85,8600,2055
86,8700,2081
87,8800,2104
88,8900,2128
89,9000,2144
90,9100,2166
91,9200,2192
92,9300,2214
93,9400,2230
94,9500,2260
95,9600,2283
96,9700,2302
97,9800,2320
98,9900,2345
99,13120,2399
100,17280,2820
101,21440,3430
102,25600,4297
103,29760,5352
104,33920,6268
105,38080,7142
106,42240,7946
107,46400,8749
108,50560,9521
109,54720,10298
110,58880,11053
111,63040,11788
112,67200,12483
113,71360,13195
114,75520,13896
115,79680,14591
116,83840,15263
117,88000,15968
118,92160,16658
119,96320,17322
120,100480,18005
121,104640,18641
122,108800,19274
123,112960,19903
124,117120,20549
125,121280,21147
126,125440,21796
127,129600,22404
128,133760,23085
129,137920,23675
130,142080,24262
131,146240,24886
132,150400,25448
133,154560,26050
134,158720,26641
135,162880,27197
136,167040,27758
137,171200,28309
138,175360,28870
139,179520,29430
140,183680,29966
141,187840,30536
142,192000,31040
143,196160,31610
144,200320,32113
145,204480,32641
146,208640,33150
147,212800,33690
148,216960,34191
149,221120,34734
150,225280,35267
151,229440,35759
152,233600,36241
153,237760,36758
154,241920,37239
155,246080,37759
156,250240,38269
