,nfe,improvements
0,100,25
1,200,45
2,300,71
3,400,89
4,500,105
5,600,119
6,700,135
7,800,146
8,900,160
9,1000,169
10,1100,180
11,1200,188
12,1300,201
13,1400,206
14,1500,214
15,1600,226
16,1700,233
17,1800,239
18,1900,243
19,2000,251
20,2100,257
21,2200,264
22,2300,273
23,2400,280
24,2500,287
25,2600,294
26,2700,298
27,2800,304
28,2900,309
29,3000,317
30,3100,323
31,3200,329
32,3300,332
33,3400,337
34,3500,345
35,3600,348
36,3700,353
37,3800,355
38,3900,359
39,4000,364
40,4100,367
41,4200,369
42,4300,369
43,4400,373
44,4500,375
45,4600,381
46,4700,384
47,4800,389
48,4900,394
49,5000,400
50,5100,405
51,5200,410
52,5300,415
53,5400,418
54,5500,418
55,5600,422
56,5700,430
57,5800,434
58,5900,437
59,6000,440
60,6100,446
61,6200,449
62,6300,453
63,6400,456
64,6500,457
65,6600,458
66,6700,462
67,6800,464
68,6900,466
69,7000,471
70,7100,471
71,7200,473
72,7300,475
73,7400,476
74,7500,480
75,7600,482
76,7700,488
77,7800,491
78,7900,492
79,8000,496
80,8100,499
81,8200,499
82,8300,505
83,8400,509
84,8500,514
85,8600,518
86,8700,521
87,8800,524
88,8900,526
89,9000,532
90,9100,535
91,9200,536
92,9300,536
93,9400,539
94,9500,544
95,9600,545
96,9700,549
97,9800,552
98,9900,556
99,10579,562
100,11351,592
101,12123,627
102,12895,685
103,13667,734
104,14439,777
105,15211,816
106,15983,846
107,16755,871
108,17527,900
109,18299,931
110,19071,956
111,19843,980
112,20615,1005
113,21387,1031
114,22159,1061
115,22931,1083
116,23703,1101
117,24475,1123
118,25247,1147
119,26019,1169
120,26791,1187
121,27563,1213
122,28335,1233
123,29107,1258
124,29879,1285
125,30651,1317
126,31423,1342
127,32195,1360
128,32967,1383
129,33739,1410
130,34511,1430
131,35283,1451
132,36055,1484
133,36827,1514
134,37599,1538
135,38371,1572
136,39143,1595
137,39915,1629
138,40687,1657
139,41459,1682
140,42231,1703
141,43003,1721
142,43775,1739
143,44547,1756
144,45319,1773
145,46091,1786
146,46863,1814
147,47635,1837
148,48407,1853
149,49179,1878
150,49951,1901
151,50723,1923
152,51495,1939
153,52267,1954
154,53039,1982
155,53811,1997
156,54583,2022
157,55355,2043
158,56127,2066
159,56899,2082
160,57671,2103
161,58443,2122
162,59215,2136
163,59987,2154
164,60759,2167
165,61531,2195
166,62303,2226
167,63075,2246
168,63847,2266
169,64619,2288
170,65391,2314
171,66163,2331
172,66935,2350
173,67707,2372
174,68479,2386
175,69251,2399
176,70023,2415
177,70795,2430
178,71567,2445
179,72339,2460
180,73111,2486
181,73883,2507
182,74655,2525
183,75427,2539
184,76199,2557
185,76971,2570
186,77743,2589
187,78515,2603
188,79287,2618
189,80059,2633
190,80831,2641
191,81603,2655
192,82375,2668
193,83147,2680
194,83919,2694
195,84691,2710
196,85463,2724
197,86235,2738
198,87007,2752
199,89528,2762
200,91860,2847
201,94192,2942
202,96524,3098
203,98856,3251
204,101188,3411
205,103520,3538
206,105852,3641
207,108184,3750
208,110516,3833
209,112848,3921
210,115180,4028
211,117512,4135
212,119844,4227
213,122176,4299
214,124508,4379
215,126840,4456
216,129172,4522
217,131504,4595
218,133836,4670
219,136168,4740
220,138500,4813
221,140832,4890
222,143164,4967
223,145496,5050
224,147828,5122
225,150160,5197
226,152492,5266
227,154824,5351
228,157156,5427
229,159488,5489
230,161820,5562
231,164152,5633
232,166484,5690
233,168816,5751
234,171148,5815
235,173480,5882
236,175812,5936
237,178144,6005
238,180476,6047
239,182808,6099
240,185140,6163
241,187472,6213
242,189804,6260
243,192136,6321
244,194468,6371
245,196800,6418
246,199132,6465
247,201464,6500
248,203796,6543
249,206128,6586
250,208460,6631
251,210792,6670
252,213124,6705
253,215456,6749
254,217788,6786
255,220120,6833
256,222452,6878
257,224784,6913
258,227116,6951
259,229448,6999
260,231780,7040
261,234112,7076
262,236444,7112
263,238776,7144
264,241108,7180
265,243440,7221
266,245772,7253
267,248104,7287
268,250436,7314
