,nfe,improvements
0,100,54
1,200,87
2,300,113
3,400,138
4,500,166
5,600,189
6,700,210
7,800,236
8,900,257
9,1000,279
10,1100,298
11,1200,316
12,1300,336
13,1400,353
14,1500,368
15,1600,390
16,1700,410
17,1800,429
18,1900,449
19,2000,461
20,2100,480
21,2200,501
22,2300,520
23,2400,535
24,2500,557
25,2600,576
26,2700,598
27,2800,619
28,2900,641
29,3000,658
30,3100,678
31,3200,700
32,3300,717
33,3400,731
34,3500,747
35,3600,764
36,3700,774
37,3800,794
38,3900,814
39,4000,830
40,4100,848
41,4200,870
42,4300,885
43,4400,899
44,4500,915
45,4600,929
46,4700,948
47,4800,964
48,4900,980
49,5000,996
50,5100,1010
51,5200,1030
52,5300,1042
53,5400,1059
54,5500,1069
55,5600,1086
56,5700,1093
57,5800,1105
58,5900,1116
59,6000,1130
60,6100,1145
61,6200,1158
62,6300,1176
63,6400,1194
64,6500,1208
65,6600,1218
66,6700,1231
67,6800,1241
68,6900,1253
69,7000,1260
70,7100,1277
71,7200,1290
72,7300,1305
73,7400,1320
74,7500,1334
75,7600,1345
76,7700,1363
77,7800,1381
78,7900,1402
79,8000,1418
80,8100,1432
81,8200,1443
82,8300,1454
83,8400,1464
84,8500,1480
85,8600,1492
86,8700,1503
87,8800,1518
88,8900,1531
89,9000,1542
90,9100,1560
91,9200,1579
92,9300,1595
93,9400,1612
94,9500,1627
95,9600,1649
96,9700,1665
97,9800,1683
98,9900,1701
99,11443,1732
100,13367,1889
101,15291,2098
102,17215,2409
103,19139,2847
104,21063,3280
105,22987,3668
106,24911,4015
107,26835,4324
108,28759,4631
109,30683,4935
110,32607,5243
111,34531,5549
112,36455,5824
113,38379,6068
114,40303,6349
115,42227,6616
116,44151,6854
117,46075,7073
118,47999,7293
119,49923,7515
120,51847,7751
121,53771,7969
122,55695,8184
123,57619,8376
124,59543,8564
125,61467,8766
126,63391,8945
127,65315,9135
128,67239,9342
129,69163,9530
130,71087,9740
131,73011,9940
132,74935,10111
133,76859,10308
134,78783,10487
135,80707,10664
136,82631,10837
137,84555,10985
138,86479,11156
139,88403,11330
140,90327,11483
141,92251,11653
142,94175,11798
143,96099,11960
144,98023,12105
145,99947,12269
146,101871,12412
147,103795,12549
148,105719,12684
149,107643,12856
150,109567,13000
151,111491,13128
152,113415,13266
153,115339,13413
154,117263,13529
155,119187,13654
156,121111,13782
157,123035,13901
158,124959,14035
159,126883,14174
160,128807,14296
161,130731,14422
162,132655,14529
163,134579,14663
164,136503,14795
165,138427,14927
166,140351,15047
167,142275,15178
168,144199,15307
169,146123,15432
170,148047,15565
171,149971,15674
172,151895,15793
173,153819,15899
174,155743,16020
175,157667,16119
176,159591,16228
177,161515,16348
178,163439,16489
179,165363,16606
180,167287,16696
181,169211,16821
182,171135,16928
183,173059,17038
184,174983,17154
185,176907,17245
186,178831,17346
187,180755,17458
188,182679,17570
189,184603,17677
190,186527,17786
191,188451,17895
192,190375,17991
193,192299,18087
194,194223,18189
195,196147,18286
196,198071,18392
197,199995,18492
198,201919,18587
199,203843,18674
200,205767,18760
201,207691,18842
202,209615,18928
203,211539,19028
204,213463,19128
205,215387,19228
206,217311,19319
207,219235,19403
208,221159,19488
209,223083,19578
210,225007,19675
211,226931,19784
212,228855,19873
213,230779,19963
214,232703,20062
215,234627,20137
216,236551,20219
217,238475,20304
218,240399,20378
219,242323,20468
220,244247,20571
221,246171,20655
222,248095,20740
223,250019,20828
