,nfe,improvements
0,100,25
1,200,43
2,300,59
3,400,75
4,500,102
5,600,118
6,700,134
7,800,156
8,900,178
9,1000,193
10,1100,208
11,1200,222
12,1300,234
13,1400,247
14,1500,264
15,1600,280
16,1700,291
17,1800,302
18,1900,310
19,2000,316
20,2100,333
21,2200,347
22,2300,358
23,2400,363
24,2500,375
25,2600,383
26,2700,394
27,2800,404
28,2900,415
29,3000,421
30,3100,425
31,3200,437
32,3300,441
33,3400,448
34,3500,456
35,3600,463
36,3700,470
37,3800,479
38,3900,485
39,4000,494
40,4100,499
41,4200,502
42,4300,505
43,4400,514
44,4500,520
45,4600,529
46,4700,535
47,4800,541
48,4900,546
49,5000,552
50,5100,556
51,5200,561
52,5300,569
53,5400,574
54,5500,576
55,5600,579
56,5700,587
57,5800,590
58,5900,598
59,6000,603
60,6100,614
61,6200,617
62,6300,623
63,6400,628
64,6500,629
65,6600,631
66,6700,635
67,6800,635
68,6900,645
69,7000,652
70,7100,660
71,7200,667
72,7300,672
73,7400,680
74,7500,685
75,7600,690
76,7700,702
77,7800,708
78,7900,717
79,8000,723
80,8100,729
81,8200,732
82,8300,738
83,8400,744
84,8500,751
85,8600,758
86,8700,766
87,8800,772
88,8900,780
89,9000,787
90,9100,797
91,9200,809
92,9300,815
93,9400,822
94,9500,832
95,9600,840
96,9700,844
97,9800,852
98,9900,860
99,10525,868
100,11225,891
101,11925,937
102,12625,1001
103,13325,1069
104,14025,1143
105,14725,1219
106,15425,1286
107,16125,1377
108,16825,1443
109,17525,1517
110,18225,1570
111,18925,1632
112,19625,1690
113,20325,1751
114,21025,1812
115,21725,1867
116,22425,1911
117,23125,1975
118,23825,2031
119,24525,2093
120,25225,2153
121,25925,2194
122,26625,2237
123,27325,2281
124,28025,2327
125,28725,2376
126,29425,2420
127,30125,2468
128,30825,2516
129,31525,2546
130,32225,2577
131,32925,2613
132,33625,2647
133,34325,2673
134,35025,2706
135,35725,2732
136,36425,2754
137,37125,2783
138,37825,2819
139,38525,2850
140,39225,2888
141,39925,2922
142,40625,2959
143,41325,2992
144,42025,3023
145,42725,3055
146,43425,3085
147,44125,3111
148,44825,3140
149,45525,3174
150,46225,3211
151,46925,3238
152,47625,3276
153,48325,3300
154,49025,3321
155,49725,3365
156,50425,3396
157,51125,3431
158,51825,3458
159,52525,3482
160,53225,3518
161,53925,3554
162,54625,3584
163,55325,3615
164,56025,3651
165,56725,3675
166,57425,3709
167,58125,3727
168,58825,3758
169,59525,3782
170,60225,3809
171,60925,3836
172,61625,3857
173,62325,3879
174,63025,3903
175,63725,3928
176,64425,3950
177,65125,3971
178,65825,3988
179,66525,4015
180,67225,4039
181,67925,4063
182,68625,4082
183,69325,4101
184,70025,4121
185,70725,4140
186,71425,4165
187,72125,4187
188,72825,4217
189,73525,4240
190,74225,4273
191,74925,4310
192,75625,4331
193,76325,4358
194,77025,4377
195,77725,4401
196,78425,4418
197,79125,4433
198,79825,4452
199,82667,4465
200,85523,4566
201,88379,4727
202,91235,4928
203,94091,5167
204,96947,5423
205,99803,5680
206,102659,5908
207,105515,6094
208,108371,6282
209,111227,6432
210,114083,6558
211,116939,6694
212,119795,6805
213,122651,6908
214,125507,7010
215,128363,7086
216,131219,7155
217,134075,7239
218,136931,7316
219,139787,7393
220,142643,7477
221,145499,7551
222,148355,7618
223,151211,7679
224,154067,7752
225,156923,7823
226,159779,7890
227,162635,7951
228,165491,8026
229,168347,8073
230,171203,8117
231,174059,8159
232,176915,8208
233,179771,8260
234,182627,8304
235,185483,8354
236,188339,8401
237,191195,8437
238,194051,8481
239,196907,8526
240,199763,8567
241,202619,8612
242,205475,8655
243,208331,8700
244,211187,8739
245,214043,8786
246,216899,8825
247,219755,8859
248,222611,8891
249,225467,8923
250,228323,8963
251,231179,8991
252,234035,9036
253,236891,9067
254,239747,9097
255,242603,9131
256,245459,9161
257,248315,9204
258,251171,9235
