,nfe,improvements
0,100,61
1,200,83
2,300,103
3,400,127
4,500,146
5,600,170
6,700,193
7,800,218
8,900,241
9,1000,263
10,1100,284
11,1200,298
12,1300,318
13,1400,339
14,1500,351
15,1600,370
16,1700,390
17,1800,409
18,1900,427
19,2000,447
20,2100,462
21,2200,485
22,2300,505
23,2400,525
24,2500,542
25,2600,560
26,2700,577
27,2800,592
28,2900,608
29,3000,628
30,3100,642
31,3200,661
32,3300,678
33,3400,696
34,3500,716
35,3600,736
36,3700,755
37,3800,767
38,3900,790
39,4000,806
40,4100,821
41,4200,834
42,4300,852
43,4400,868
44,4500,887
45,4600,899
46,4700,914
47,4800,935
48,4900,948
49,5000,956
50,5100,973
51,5200,986
52,5300,1004
53,5400,1024
54,5500,1044
55,5600,1059
56,5700,1080
57,5800,1095
58,5900,1114
59,6000,1129
60,6100,1144
61,6200,1161
62,6300,1178
63,6400,1194
64,6500,1206
65,6600,1220
66,6700,1241
67,6800,1256
68,6900,1271
69,7000,1290
70,7100,1310
71,7200,1326
72,7300,1341
73,7400,1354
74,7500,1368
75,7600,1384
76,7700,1395
77,7800,1406
78,7900,1424
79,8000,1438
80,8100,1452
81,8200,1465
82,8300,1480
83,8400,1495
84,8500,1507
85,8600,1520
86,8700,1532
87,8800,1541
88,8900,1550
89,9000,1565
90,9100,1579
91,9200,1595
92,9300,1609
93,9400,1622
94,9500,1636
95,9600,1648
96,9700,1659
97,9800,1668
98,9900,1679
99,11230,1689
100,12870,1797
101,14510,1950
102,16150,2158
103,17790,2445
104,19430,2711
105,21070,2953
106,22710,3159
107,24350,3398
108,25990,3564
109,27630,3754
110,29270,3931
111,30910,4111
112,32550,4322
113,34190,4489
114,35830,4666
115,37470,4833
116,39110,5011
117,40750,5162
118,42390,5333
119,44030,5475
120,45670,5631
121,47310,5789
122,48950,5946
123,50590,6098
124,52230,6244
125,53870,6382
126,55510,6538
127,57150,6664
128,58790,6802
129,60430,6956
130,62070,7107
131,63710,7246
132,65350,7369
133,66990,7495
134,68630,7621
135,70270,7757
136,71910,7872
137,73550,8006
138,75190,8135
139,76830,8275
140,78470,8399
141,80110,8522
142,81750,8639
143,83390,8744
144,85030,8868
145,86670,8980
146,88310,9093
147,89950,9223
148,91590,9357
149,93230,9472
150,94870,9576
151,96510,9686
152,98150,9790
153,99790,9892
154,101430,9996
155,103070,10099
156,104710,10177
157,106350,10282
158,107990,10383
159,109630,10480
160,111270,10587
161,112910,10671
162,114550,10751
163,116190,10847
164,117830,10921
165,119470,11010
166,121110,11087
167,122750,11166
168,124390,11260
169,126030,11322
170,127670,11420
171,129310,11502
172,130950,11574
173,132590,11641
174,134230,11708
175,135870,11774
176,137510,11847
177,139150,11906
178,140790,11974
179,142430,12052
180,144070,12125
181,145710,12192
182,147350,12264
183,148990,12329
184,150630,12403
185,152270,12480
186,153910,12562
187,155550,12611
188,157190,12693
189,158830,12761
190,160470,12826
191,162110,12895
192,163750,12964
193,165390,13030
194,167030,13099
195,168670,13183
196,170310,13257
197,171950,13333
198,173590,13408
199,182169,13480
200,191421,13821
201,200673,14352
202,209925,15239
203,219177,16349
204,228429,17278
205,237681,17989
206,246933,18539
207,256185,19032
