,nfe,improvements
0,100,21
1,200,38
2,300,52
3,400,68
4,500,86
5,600,104
6,700,121
7,800,136
8,900,157
9,1000,172
10,1100,187
11,1200,198
12,1300,211
13,1400,226
14,1500,237
15,1600,245
16,1700,251
17,1800,260
18,1900,270
19,2000,275
20,2100,282
21,2200,287
22,2300,296
23,2400,306
24,2500,310
25,2600,317
26,2700,320
27,2800,325
28,2900,326
29,3000,329
30,3100,337
31,3200,344
32,3300,353
33,3400,357
34,3500,360
35,3600,363
36,3700,367
37,3800,372
38,3900,377
39,4000,383
40,4100,386
41,4200,389
42,4300,394
43,4400,399
44,4500,405
45,4600,410
46,4700,414
47,4800,420
48,4900,428
49,5000,432
50,5100,435
51,5200,437
52,5300,445
53,5400,448
54,5500,454
55,5600,459
56,5700,461
57,5800,466
58,5900,470
59,6000,476
60,6100,477
61,6200,482
62,6300,487
63,6400,491
64,6500,496
65,6600,503
66,6700,505
67,6800,507
68,6900,514
69,7000,523
70,7100,527
71,7200,533
72,7300,542
73,7400,547
74,7500,552
75,7600,557
76,7700,559
77,7800,560
78,7900,568
79,8000,571
80,8100,574
81,8200,578
82,8300,580
83,8400,584
84,8500,588
85,8600,590
86,8700,592
87,8800,597
88,8900,603
89,9000,607
90,9100,612
91,9200,615
92,9300,622
93,9400,626
94,9500,632
95,9600,634
96,9700,639
97,9800,649
98,9900,652
99,10459,657
100,11071,682
101,11683,708
102,12295,744
103,12907,785
104,13519,828
105,14131,871
106,14743,904
107,15355,925
108,15967,955
109,16579,984
110,17191,1012
111,17803,1036
112,18415,1068
113,19027,1099
114,19639,1137
115,20251,1165
116,20863,1189
117,21475,1218
118,22087,1241
119,22699,1259
120,23311,1286
121,23923,1306
122,24535,1321
123,25147,1336
124,25759,1352
125,26371,1372
126,26983,1389
127,27595,1413
128,28207,1436
129,28819,1456
130,29431,1475
131,30043,1494
132,30655,1517
133,31267,1536
134,31879,1557
135,32491,1575
136,33103,1593
137,33715,1612
138,34327,1623
139,34939,1636
140,35551,1653
141,36163,1671
142,36775,1688
143,37387,1709
144,37999,1731
145,38611,1742
146,39223,1757
147,39835,1770
148,40447,1795
149,41059,1816
150,41671,1832
151,42283,1848
152,42895,1869
153,43507,1887
154,44119,1903
155,44731,1928
156,45343,1949
157,45955,1974
158,46567,1993
159,47179,2022
160,47791,2044
161,48403,2060
162,49015,2075
163,49627,2091
164,50239,2100
165,50851,2119
166,51463,2133
167,52075,2148
168,52687,2162
169,53299,2175
170,53911,2189
171,54523,2212
172,55135,2236
173,55747,2251
174,56359,2273
175,56971,2291
176,57583,2304
177,58195,2320
178,58807,2338
179,59419,2366
180,60031,2398
181,60643,2417
182,61255,2441
183,61867,2468
184,62479,2496
185,63091,2514
186,63703,2537
187,64315,2560
188,64927,2590
189,65539,2609
190,66151,2635
191,66763,2655
192,67375,2680
193,67987,2701
194,68599,2720
195,69211,2743
196,69823,2757
197,70435,2785
198,71047,2805
199,73378,2820
200,75670,2885
201,77962,2963
202,80254,3092
203,82546,3251
204,84838,3433
205,87130,3580
206,89422,3725
207,91714,3850
208,94006,3968
209,96298,4072
210,98590,4178
211,100882,4274
212,103174,4383
213,105466,4472
214,107758,4565
215,110050,4648
216,112342,4734
217,114634,4829
218,116926,4928
219,119218,5014
220,121510,5118
221,123802,5207
222,126094,5279
223,128386,5364
224,130678,5434
225,132970,5502
226,135262,5568
227,137554,5653
228,139846,5734
229,142138,5817
230,144430,5924
231,146722,5998
232,149014,6070
233,151306,6140
234,153598,6219
235,155890,6306
236,158182,6381
237,160474,6460
238,162766,6526
239,165058,6604
240,167350,6671
241,169642,6731
242,171934,6790
243,174226,6845
244,176518,6908
245,178810,6971
246,181102,7024
247,183394,7097
248,185686,7159
249,187978,7212
250,190270,7289
251,192562,7360
252,194854,7414
253,197146,7456
254,199438,7502
255,201730,7560
256,204022,7620
257,206314,7667
258,208606,7711
259,210898,7767
260,213190,7820
261,215482,7860
262,217774,7903
263,220066,7968
264,222358,8023
265,224650,8073
266,226942,8123
267,229234,8181
268,231526,8222
269,233818,8255
270,236110,8304
271,238402,8350
272,240694,8389
273,242986,8431
274,245278,8499
275,247570,8539
276,249862,8590
277,252154,8638
