,nfe,improvements
0,100,62
1,200,85
2,300,118
3,400,143
4,500,172
5,600,198
6,700,224
7,800,242
8,900,258
9,1000,279
10,1100,308
11,1200,333
12,1300,357
13,1400,374
14,1500,397
15,1600,421
16,1700,432
17,1800,451
18,1900,467
19,2000,490
20,2100,510
21,2200,534
22,2300,555
23,2400,577
24,2500,599
25,2600,616
26,2700,632
27,2800,650
28,2900,670
29,3000,696
30,3100,719
31,3200,741
32,3300,764
33,3400,780
34,3500,801
35,3600,820
36,3700,845
37,3800,862
38,3900,881
39,4000,905
40,4100,921
41,4200,944
42,4300,961
43,4400,974
44,4500,995
45,4600,1013
46,4700,1025
47,4800,1042
48,4900,1066
49,5000,1080
50,5100,1097
51,5200,1113
52,5300,1138
53,5400,1155
54,5500,1170
55,5600,1186
56,5700,1203
57,5800,1216
58,5900,1237
59,6000,1251
60,6100,1269
61,6200,1279
62,6300,1292
63,6400,1305
64,6500,1320
65,6600,1339
66,6700,1351
67,6800,1370
68,6900,1391
69,7000,1410
70,7100,1427
71,7200,1447
72,7300,1462
73,7400,1482
74,7500,1497
75,7600,1513
76,7700,1533
77,7800,1553
78,7900,1567
79,8000,1582
80,8100,1601
81,8200,1620
82,8300,1635
83,8400,1651
84,8500,1667
85,8600,1688
86,8700,1703
87,8800,1719
88,8900,1737
89,9000,1749
90,9100,1763
91,9200,1779
92,9300,1794
93,9400,1805
94,9500,1825
95,9600,1845
96,9700,1858
97,9800,1873
98,9900,1890
99,11443,1914
100,13367,2061
101,15291,2251
102,17215,2528
103,19139,2844
104,21063,3187
105,22987,3547
106,24911,3878
107,26835,4217
108,28759,4525
109,30683,4833
110,32607,5134
111,34531,5415
112,36455,5690
113,38379,5982
114,40303,6239
115,42227,6525
116,44151,6791
117,46075,7069
118,47999,7347
119,49923,7608
120,51847,7877
121,53771,8131
122,55695,8402
123,57619,8650
124,59543,8910
125,61467,9155
126,63391,9408
127,65315,9663
128,67239,9898
129,69163,10124
130,71087,10365
131,73011,10599
132,74935,10845
133,76859,11083
134,78783,11326
135,80707,11534
136,82631,11742
137,84555,11948
138,86479,12139
139,88403,12320
140,90327,12500
141,92251,12664
142,94175,12846
143,96099,13021
144,98023,13212
145,99947,13410
146,101871,13606
147,103795,13807
148,105719,13999
149,107643,14182
150,109567,14388
151,111491,14587
152,113415,14782
153,115339,14969
154,117263,15147
155,119187,15306
156,121111,15500
157,123035,15685
158,124959,15870
159,126883,16073
160,128807,16253
161,130731,16444
162,132655,16627
163,134579,16804
164,136503,16978
165,138427,17167
166,140351,17342
167,142275,17506
168,144199,17677
169,146123,17838
170,148047,17995
171,149971,18152
172,151895,18316
173,153819,18464
174,155743,18636
175,157667,18785
176,159591,18952
177,161515,19133
178,163439,19283
179,165363,19445
180,167287,19598
181,169211,19774
182,171135,19909
183,173059,20056
184,174983,20197
185,176907,20319
186,178831,20449
187,180755,20603
188,182679,20746
189,184603,20869
190,186527,20999
191,188451,21115
192,190375,21242
193,192299,21377
194,194223,21527
195,196147,21654
196,198071,21782
197,199995,21900
198,201919,22029
199,203843,22163
200,205767,22307
201,207691,22440
202,209615,22569
203,211539,22696
204,213463,22814
205,215387,22930
206,217311,23026
207,219235,23139
208,221159,23237
209,223083,23340
210,225007,23452
211,226931,23547
212,228855,23670
213,230779,23790
214,232703,23906
215,234627,24017
216,236551,24132
217,238475,24235
218,240399,24354
219,242323,24460
220,244247,24581
221,246171,24696
222,248095,24815
223,250019,24918
